Question,A,B,C,D,Answer
"Ақпараттық   қауіпсіздіктің   негізін   құрайтын   үш   түйінді  элемент","Қолжетімділік ,  тұтастық   және   құпиялық","Желі   жылдамдығы ,  деректер   сапасы   және   пайдаланушы   ыңғайлылығы","Архивтеу   жиілігі ,  қорғаныс   тереңдігі   және  мониторинг  жиілігі","Кілт   ұзындығы , алгоритм  күрделілігі   және  пароль  қиындығы",A
"Симметриялық   шифрлеу   жүйесіндегі   кілттер  саны","Әр  операция  үшін   бір   кілт","Бір   кілт   барлық   операциялар   үшін","Кілттер  саны  деректер   көлеміне   байланысты","Кілттер  саны алгоритм  түріне   қарай   өзгереді",B
"Ашық   кілттік  криптография  жүйесінде   кілттердің   таратылу   тәртібі","Жеке  кілт   жарияланады , ал  қоғамдық   кілт   жасырылады","Екі   кілт  те  қатаң   құпия   түрде   сақталады","Қоғамдық   кілт   бөліседі , ал  жеке   кілт   құпияда   қалады","Екі   кілт  те  кез   келген   пайдаланушыға   тегін   беріледі",C
"Хэш-функциялардың   негізгі   мақсаты","Деректерді   қысқарту   және   олардың   бірегейлігін   тексеру","Деректерді   шифрлау   және   қорғау   деңгейін   көтеру","Деректерді   жылдам   тасымалдау   және   сақтау","Деректер   көлемін   азайту   және   оларды   жинақтау",A
"Сандық   қолтаңбаның   негізгі   қасиеті","Деректерді   қорғау   және   оларды   жіберу   жылдамдығын   арттыру","Деректерді   сығу   және   оларды   сақтау   тиімділігін   арттыру","Деректердің   шығу   тегін   және   өзгермегендігін   дәлелдеу","Деректерді   тасымалдау   және   оларды   өңдеу   жеңілдігі",C
"SSL/TLS  протоколының   негізгі   қолданылу   аясы","Веб-қосылымдарды   қорғау   және   деректерді   шифрлау","Кілттерді   жасау   және   оларды   басқару","Биометриялық   аутентификацияны   іске   асыру","Блокчейн   желілерінде   мәліметтерді   растау",A
"Кілттерді   басқарудың   мағынасы","Кілттерді   өшіру   немесе   оларды   жою   процесі","Кілттерді   көшіру   және   оларды   бөлісу   әдістері","Кілттерді   құру ,  тарату ,  сақтау   және   жою   циклі","Кілттерді   жариялау   және   оларды   тарату   тәсілдері",C
"Криптоанализдің   мақсаты","Хэш-функцияларды   жаңарту   және   оларды   алмастыру","Деректерді   жинақтау   және   оларды   сақтау   әдістерін   зерттеу","Кілттерді   құру   алгоритмдерін   әзірлеу   және   тестілеу","Шифрланған   ақпаратты   ашу   және  оны  оқу   әдістерін  табу",D
"AES  алгоритмінің   ерекшелігі","Хэш-функция  ретінде   қолданылатын   заманауи   әдіс","Ағынды   шифрлау   үшін   пайдаланылатын   ескірген  технология","Асимметриялы   шифрлауға   арналған   қауіпті   тәсіл","Симметриялы   шифрлауда   қолданылатын   кең   тараған  алгоритм",D
"RSA  алгоритмінің   жұмыс   істеу   принципі","Симметриялы   шифрлауға   негізделген   заманауи   тәсіл","Асимметриялы   шифрлауға   негізделген   математикалық   әдіс","Хэш-функция  ретінде   жұмыс   істейтін   белгілі  технология","Ағынды   шифрлауға   арналған   ескірген   жүйе",B
"SHA-256  алгоритмінің   сипаттамасы","Асимметриялы   шифрлауда   қолданылатын   кілт   әдісі","256  биттік  хэш-функция","Кілт   алмасу  протоколы  ретінде   қолданылатын   тәсіл","Блокчейнде   деректерді   сақтауға   арналған  алгоритм",B
"HMAC  технологиясының   қызметі","Биометриялық   деректерді   сақтау   және   тану","Кілттерді   генерациялау   және   басқару","Деректерді   шифрлау   және   желіде   қорғау","Хэш-функция мен  кілтті   біріктіру   арқылы   деректер   тұтастығын   растау",D
"Кванттық   есептеулердің   әсер   ету   саласы","SHA-256  сияқты   хэш-функцияларға   әсер   етеді","HMAC  сияқты  аутентификация  әдістеріне   әсер   етеді","RSA  сияқты   асимметриялы   алгоритмдерге   әсер   етеді","AES-256  сияқты   симметриялы   шифрларға   әсер   етеді",C
"Кездейсоқ   сандар   генераторының   маңыздылығы","Пайдаланушыларды   анықтау   және   желіге   кіру   рұқсатын  беру","Деректерді   жылдам   жіберу   және   өңдеу","Кілттердің   болжамсыздығын   қамтамасыз   ету","Блокчейнде   тізбек   құру   алгоритмін   қамтамасыз   ету",C
"Бүйірлік   арналық   шабуылдардың   ерекшелігі","Кілттер   ұзындығын   арттыру   арқылы   қорғаныс   жасау","Деректерді  интернет  арқылы   тасымалдау   кезінде   шабуыл   жасау","Хэш-функцияларды   жаңарту   арқылы   қорғаныс   әдісін   қолдану","Құрылғының  энергия  тұтынуын ,  уақытты ,  электромагниттік   сәулеленуді   талдау",D
"VPN  технологиясының   негізгі   қасиеті","Пайдаланушылардың   логиндері  мен  парольдерін   жинақтау","Файлдарды   автоматты   түрде   архивлап   сақтау","Кілттерді   басқа   құрылғыға   қауіпсіз   жіберу","Деректерді   шифрлайтын  туннель  құру",D
"HTTPS  протоколының   құрылымы","Деректерді   архивлау   және   сақтау   әдісі","Кілттерді   генерациялау   және   басқару  протоколы","HTTP  протоколына  TLS  қосу","Блокчейнге   деректерді   қосу  протоколы",C
"Блокчейн   технологиясында   блоктар   арасындағы   байланыс","Пайдаланушының  IP  мекенжайына   байланысты","Кілт   ұзындығына   байланысты   өзгереді","Алдыңғы   блоктың   хэшіне   байланысты","Желі   жылдамдығына   пропорционал   өзгереді",C
"PGP  құралының   негізгі   мақсаты","Файлдарды   архивлау   және   сығу","Веб-беттерді   жобалау   және   қорғау","Электронды   поштаны   қорғау","Кілттерді   генерациялау   және   тарату",C
"Биометриялық   деректерді   қорғаудың   тиімді   әдісі","Оларды   ашық   түрде   сақтау   ең   қауіпсіз   әдіс","Оларды  интернет  желісінде   жариялау   керек","Оларды   қарапайым   парольмен   қорғау   жеткілікті","Оларды   шифрлау   қажет",D
"DES  стандартының   кілт   ұзындығы","128 бит","256 бит","1024 бит","56 бит",D
"3DES  алгоритмінің   жұмыс   принципі","AES  алгоритмімен   толық   ауыстырылды","Хэш-функция  ретінде   қолданылады","Кілт   ұзындығын  1024 битке  дейін   ұлғайтады","DES  алгоритмін   үш   рет   қайталайды",D
"Blowfish   алгоритмінің   түрі","Ағынды   шифрлау   әдісі   ретінде   қолданылады","Асимметриялы   шифрлауға   арналған","Блокты   шифрлау   алгоритмі","Хэш-функция  ретінде   пайдаланылады",C
"ChaCha20  алгоритмінің   негізгі   артықшылығы","Үлкен   деректерді   архивлау   және   сақтау","Мобильді   құрылғыларда   жылдам   шифрлау","Кілттерді   генерациялау   және   басқару","Блокчейнде   тізбек   құру",B
"ECC  алгоритмінің   басты   үлесі","Ұзын   кілт   қажет ,  бірақ   баяу   жұмыс   істейтін   әдіс","Қысқа   кілт   ұзындығымен   жоғары   қауіпсіздік","Симметриялы   шифрлау   түріне   жатады","Хэш-функция  ретінде   қолданылады",B
"MD5  функциясының   қазіргі   жағдайы","Ең   қауіпсіз   хэш-функциялардың   бірі","Қазір   қауіпті   деп   танылды","Криптографияда   жаңа  стандарт  ретінде   қабылданды","Криптографиялық   емес   қолданбалар   үшін   арналған",B
"RC4  алгоритмінің   сипаттамасы","Блокты   шифрлау   алгоритмі   ретінде   қолданылады","Асимметриялы   шифрлау   әдісі   болып   табылады","Ағынды   шифрлау   алгоритмі","Хэш-функция  ретінде   пайдаланылады",C
"ElGamal   алгоритмінің   қолданылуы","Хэш-функция  ретінде   арнайы   қолданылады","Шифрлау   және   сандық   қолтаңба   үшін   қолданылады","Кілт   алмасу  протоколы  ретінде   пайдаланылады","Деректерді   архивлау   және   сақтау   үшін   қолданылады",B
"DSA  алгоритмінің   мақсаты","Деректерді   шифрлауға   арналған  алгоритм","Сандық   қолтаңбаға   арналған","Хэш-функция  ретінде   қолданылатын   әдіс","Кілттерді   генерациялауға   арналған   құрал",B
